"Old guides, for reference only.  If you're here, cool.",,,,,
,,,,,
Old Panerai,,,,,
Model Family,Model Number/notes,Movement,Best Factory,2nd Best,3rd Best
Luminor,PAM 000 - Luminor Base Logo (44mm) N-series Noob V2.5,"Seagul ST3600 (ETA 6497 clone) 21,600 vph",Noob (Closed),,
,PAM 005 - Luminar Marina Logo (44mm) N-series Noob V2 / N-series H maker V2,"Seagul ST3600 (ETA 6497 clone) 21,600 vph",Noob (Closed),,
,PAM 026 - Luminor Marina Destro PVD (44mm) K-series Noob V3,"Seagul ST3600 (ETA 6497 clone) 21,600 vph",Noob (Closed),,
,PAM 029 - Luminor GMT (44mm) M-series Noob V2-improved,,Noob (Closed),,
,PAM 057 - Luminor Power Reserve Titanium (44mm) DSN,,,,
,PAM 088 - Luminor GMT (44mm) O-series Noob,,Noob (Closed),,
,PAM 104 - Luminor Marina Automatic (44mm) O-series Noob,,Noob (Closed),,
,PAM 111 - Luminor Marina (44mm) N-series Noob V3 (and later -> current best : v11),"Seagul ST3600 (ETA 6497 clone) depending on factory options can be 21,600 or 18,000 vph",Noob (Closed),XF,HWF
,PAM 112 - Luminor Base (44mm) M-N series Noob,"Seagul ST3600 (ETA 6497 clone) 21,600 vph",Noob (Closed),,
,"PAM 127 - Luminor 1950 ""Fiddy"" (47mm) Latest Noob",,Noob (Closed),,
,PAM 164 - Luminor Marina Automatic (44mm) O-series Noob,,Noob (Closed),,
,PAM 176 - Luminor Base Titanium (44mm) M-N series Noob V3,"Seagul ST3600 (ETA 6497 clone) 21,600 vph",Noob (Closed),,
,PAM 177 - Luminor Marina Titanium (44mm) N-P series Noob,"Seagul ST3600 (ETA 6497 clone) 21,600 vph",Noob (Closed),,
,PAM 187 - Luminor Submersible Chorno 1000m (47mm) Noob 7753,,Noob (Closed),,
,"PAM 217 - Luminor Marina Militare 1950 Destro ""Fiddy"" (47mm) 2012 Noob","Seagul ST3600 (ETA 6497 clone) 21,600 vph",Noob (Closed),,
,PAM 243 - Luminor 1950 Submersible (44mm) M-series Noob V2,,Noob (Closed),,
,PAM 297 - Luminor GMT (44mm) O-series Noob,,Noob (Closed),,
,PAM 299 - Luminor Marina Automatic (K-series) (44mm) O- series Noob,,Noob (Closed),,
,PAM 318 - Luminor Marina Logo (44mm) L-series Noob,"Seagul ST3600 (ETA 6497 clone) 21,600 vph",Noob (Closed),,
,PAM 356 - Luminor Chrono Daylight (44mm) O-series Noob 7753,,Noob (Closed),,
,PAM 364 - Luminor Submersible 1950 Titanium (47mm) P-series Noob,,Noob (Closed),,
,PAM 390 - Luminor Boutique Edition (44mm) N-series Noob,"Seagul ST3600 (ETA 6497 clone) 21,600 vph",Noob (Closed),,
,PAM 411 to 420 - Luminor Marina Boutiques Special Edition (44mm) KW/V6F,"Seagul ST3600 (ETA 6497 clone) 21,600 vph",V6F/VSF,,
,PAM 432 to 434 - Luminor Marina Boutiques Special Edition (44mm) H Maker,,,,
,PAM 441 - Luminor GMT VSF V2,,VSF,,
,PAM 508 - Luminor 1950 Submerislbe Ceramica (47mm) KW-V6Fac Ceramic decorated A7750 Inverted KP9000 // P-KW-V6Fac Ceramic decorated Seagull NON-inverted KP9000-Seagull V2,,V6F/VSF,,
,PAM 569 - Luminor 1950 Submersible Dextro Titanium (47mm) KW-V6F Q-series Seagull Non-Inverted KWP9000-Seagull V2,,V6F/VSF,,
Radiomir,PAM 288 - Radiomir Chronograph (45mm) K-series H maker,,,,
,PAM 292 - Radiomir Black Seal (45mm) J-series Noob,,Noob (Closed),,
,PAM 346 - Radiomir Titanio (45mm) KW/V6F,,V6F/VSF,,
Submersible,PAM 187 - Luminor Submersible Chorno 1000m (47mm) Noob 7753,,Noob (Closed),,
,PAM 243 - Luminor 1950 Submersible (44mm) M-series Noob V2,,Noob (Closed),,
,PAM 364 - Luminor Submersible 1950 Titanium (47mm) P-series Noob,,Noob (Closed),,
,PAM 569 - Luminor 1950 Submersible Dextro Titanium (47mm) KW-V6F Q-series Seagull Non-Inverted KWP9000-Seagull V2,,V6F/VSF,,
